fecha,apertura,maximo,minimo,cierre,cierre_ajustado,volumen
2021-09-23,169.0025,171.4480,169.0025,170.8000,170.8000,47588000
2021-09-24,170.1005,171.4630,169.6700,171.2760,171.2760,42324000
2021-09-27,168.5750,170.7785,166.9805,170.2900,170.2900,72690000
2021-09-28,167.8855,168.4595,164.5050,165.7980,165.7980,88616000
2021-09-29,166.1055,167.5650,164.8935,165.0560,165.0560,51246000
2021-09-30,165.8000,166.3925,163.6995,164.2520,164.2520,56848000
2021-10-01,164.4505,165.4585,162.7970,164.1630,164.1630,56712000
2021-10-04,163.9695,163.9995,158.8125,159.4890,159.4890,90462000
2021-10-05,160.2250,163.0365,160.1230,161.0500,161.0500,65384000
2021-10-06,160.6765,163.2170,159.9310,163.1005,163.1005,50660000
2021-10-07,164.5770,166.2875,164.1530,165.1215,165.1215,48182000
2021-10-08,165.8500,166.0715,164.4100,164.4310,164.4310,39964000
2021-10-11,163.7500,164.6295,161.9050,162.3150,162.3150,40684000
2021-10-12,162.8500,163.3765,161.8140,162.3665,162.3665,36392000
2021-10-13,163.4855,164.4190,163.0545,164.2140,164.2140,48402000
2021-10-14,165.1225,165.6300,164.5390,164.9930,164.9930,42190000
2021-10-15,165.5710,170.5210,165.2000,170.4510,170.4510,103598000
2021-10-18,169.4180,172.4585,169.2550,172.3370,172.3370,63482000
2021-10-19,171.7145,172.7345,171.1000,172.2075,172.2075,47722000
2021-10-20,172.6330,173.1430,170.0185,170.7530,170.7530,42796000
2021-10-21,170.7125,172.0140,170.1500,171.7505,171.7505,37628000
2021-10-22,171.0500,171.4920,166.5650,166.7775,166.7775,62782000
2021-10-25,166.7500,167.3900,164.8850,166.0185,166.0185,44520000
2021-10-26,167.4755,170.8060,167.1990,168.8035,168.8035,53966000
2021-10-27,169.4000,171.8500,168.5725,169.6245,169.6245,54044000
2021-10-28,170.1050,173.9500,169.3000,172.3285,172.3285,114174000
2021-10-29,165.0010,168.7410,163.6660,168.6215,168.6215,129722000
2021-11-01,168.0900,168.7930,164.6010,165.9055,165.9055,72178000
2021-11-02,165.7505,166.5560,164.1775,165.6375,165.6375,52552000
2021-11-03,165.4500,169.7460,164.8760,169.2000,169.2000,67944000
2021-11-04,168.5000,174.9315,168.2500,173.8500,173.8500,107060000
2021-11-05,173.8500,178.3125,173.8490,175.9495,175.9495,99940000
2021-11-08,176.1620,178.9500,174.3930,174.4490,174.4490,61480000
2021-11-09,175.7625,179.6885,175.0715,178.8115,178.8115,85898000
2021-11-10,178.1935,180.2725,173.1545,174.1025,174.1025,80548000
2021-11-11,175.6500,177.1620,173.3735,173.6250,173.6250,45288000
2021-11-12,174.2500,177.0365,172.3525,176.2575,176.2575,53788000
2021-11-15,176.8500,179.6940,176.2905,177.2840,177.2840,58594000
2021-11-16,176.9500,178.8250,176.2575,177.0350,177.0350,44342000
2021-11-17,178.2360,179.3625,177.2675,177.4500,177.4500,51206000
2021-11-18,178.3175,185.2100,178.0500,184.8030,184.8030,114070000
2021-11-19,185.6345,188.1075,183.7860,183.8285,183.8285,98734000
2021-11-22,183.8190,185.6730,178.3750,178.6285,178.6285,96844000
2021-11-23,179.2520,181.0525,176.3855,179.0020,179.0020,73804000
2021-11-24,178.1335,180.6820,176.8425,179.0205,179.0205,46560000
2021-11-26,180.1050,181.6750,175.2075,175.2280,175.2280,59826000
2021-11-29,177.3820,179.8000,176.5750,178.0785,178.0785,65312000
2021-11-30,178.1750,179.2885,174.6005,175.3535,175.3535,80022000
2021-12-01,177.2500,177.9940,172.0800,172.1860,172.1860,74916000
