fecha,apertura,maximo,minimo,cierre,cierre_ajustado,volumen
2021-09-23,275.1500,279.7000,275.0100,278.1200,278.1200,4731600
2021-09-24,278.3000,279.1300,277.4100,277.8700,277.8700,3106100
2021-09-27,279.7700,280.6300,278.1200,279.7200,279.7200,3358400
2021-09-28,279.1400,281.3800,275.8200,276.7900,276.7900,4959500
2021-09-29,277.0300,278.7800,275.9500,277.2900,277.2900,2952000
2021-09-30,278.3700,278.3700,272.8400,272.9400,272.9400,5187900
2021-10-01,273.0200,277.5100,272.2200,275.7100,275.7100,3950700
2021-10-04,274.6800,276.9600,273.0500,273.6400,273.6400,4307000
2021-10-05,273.8600,279.6700,273.2000,278.0500,278.0500,5069400
2021-10-06,276.2800,280.3900,274.6100,280.2200,280.2200,3866100
2021-10-07,282.1400,284.9900,282.1400,282.9500,282.9500,3794200
2021-10-08,282.5900,284.7200,281.7100,284.1400,284.1400,2299900
2021-10-11,284.4300,285.6100,280.8000,280.9300,280.9300,2907900
2021-10-12,281.4600,281.5200,278.2100,278.6200,278.6200,3770800
2021-10-13,278.4700,279.4100,275.5500,277.9000,277.9000,3311400
2021-10-14,280.8100,282.3800,279.3000,281.6400,281.6400,3646400
2021-10-15,283.9400,284.9700,282.2700,284.2100,284.2100,4313700
2021-10-18,282.8300,283.5100,281.5700,282.5900,282.5900,3551500
2021-10-19,283.6000,285.1500,283.0500,284.8300,284.8300,2682700
2021-10-20,284.3400,287.7000,284.3200,287.4900,287.4900,3147600
2021-10-21,286.9900,287.2800,285.2500,286.8200,286.8200,2488800
2021-10-22,287.6600,289.8000,286.2400,289.2400,289.2400,3406500
2021-10-25,289.7000,290.4700,287.6000,290.2600,290.2600,3142900
2021-10-26,290.6500,292.2200,290.3000,290.8500,290.8500,3872300
2021-10-27,290.8500,290.9500,287.6400,287.7800,287.7800,3691500
2021-10-28,288.2100,289.8600,287.2000,289.7200,289.7200,3300100
2021-10-29,288.8100,290.0000,286.7400,287.0100,287.0100,4420300
2021-11-01,288.0500,288.4200,285.6200,286.2400,286.2400,2889500
2021-11-02,286.6100,288.5000,285.2200,287.9300,287.9300,3838300
2021-11-03,287.2100,288.8800,286.1300,288.7200,288.7200,2773100
2021-11-04,289.1300,289.1300,285.2500,287.6900,287.6900,3426300
2021-11-05,288.8300,290.7000,286.8200,287.8800,287.8800,3581100
2021-11-08,290.0000,295.6500,288.6100,288.8000,288.8000,4721000
2021-11-09,288.7900,288.9900,285.3000,286.3500,286.3500,3587200
2021-11-10,286.4900,287.2400,284.5200,285.3200,285.3200,3421700
2021-11-11,286.5000,287.0700,284.2500,284.6500,284.6500,2861000
2021-11-12,284.8800,286.1000,283.8000,285.9900,285.9900,2917000
2021-11-15,286.6000,286.9900,284.2400,284.6700,284.6700,3217300
2021-11-16,284.4700,285.1600,283.1200,283.3600,283.3600,4204200
2021-11-17,283.1200,283.1200,280.9000,281.5900,281.5900,3740800
2021-11-18,281.1000,281.7500,279.2500,280.6300,280.6300,3338000
2021-11-19,280.9600,280.9700,278.0100,279.9900,279.9900,4529200
2021-11-22,280.7300,286.4400,280.0100,284.9700,284.9700,5036000
2021-11-23,285.1500,288.7300,285.0500,288.5600,288.5600,4490100
2021-11-24,287.4400,288.3200,286.0900,287.2800,287.2800,4924100
2021-11-26,280.2800,284.7100,279.7600,283.0900,283.0900,4440700
2021-11-29,284.0000,284.9800,281.4200,282.1200,282.1200,5390900
2021-11-30,279.9400,280.2000,275.8900,276.6900,276.6900,9925300
2021-12-01,279.5400,281.7200,274.7900,275.0000,275.0000,5165100
2021-12-02,276.6800,280.3700,275.2900,279.0900,279.0900,4924800
2021-12-03,278.7100,279.9700,275.2700,277.4300,277.4300,5925000
2021-12-06,278.7300,283.1700,278.7300,281.3800,281.3800,5524200
2021-12-07,282.4200,285.4100,282.1200,284.9700,284.9700,5766000
2021-12-08,284.9700,285.9700,282.2800,283.7200,283.7200,3255700
2021-12-09,283.7700,284.9500,281.7800,284.5200,284.5200,3445500
2021-12-10,285.4900,288.5000,284.2300,288.2300,288.2300,4109800
2021-12-13,288.5000,291.5800,285.8400,290.0100,290.0100,4887500
2021-12-14,289.6700,296.4100,289.6700,295.0300,295.0300,5992200
2021-12-15,295.8200,296.5000,292.8100,294.5800,294.5800,5598200
2021-12-16,296.8800,301.5800,295.1000,300.1700,300.1700,6538100
