fecha,apertura,maximo,minimo,cierre,cierre_ajustado,volumen
2021-09-23,140.9875,141.6965,140.4015,141.2160,139.8849,20952000
2021-09-24,140.5385,142.3305,140.2410,142.2150,140.8745,22984000
2021-09-27,140.8045,141.9385,140.0675,141.0720,139.7423,21882000
2021-09-28,138.6550,139.0965,135.3600,135.8300,134.5496,45772000
2021-09-29,136.9800,137.1510,133.8650,134.3535,133.0871,30848000
2021-09-30,134.2615,135.5425,133.5560,133.6760,132.4160,37996000
2021-10-01,134.4475,136.9105,134.0730,136.5430,135.2560,35360000
2021-10-04,135.9605,135.9605,131.0500,133.6595,132.3996,51202000
2021-10-05,134.0410,137.2245,134.0410,136.0230,134.7408,32404000
2021-10-06,134.7500,137.7500,134.5500,137.5650,136.2683,24364000
2021-10-07,138.8920,140.0420,138.6510,139.2250,137.9127,25110000
2021-10-08,139.5770,140.3310,139.2175,139.7855,138.4679,26526000
2021-10-11,139.2920,140.7120,138.8590,138.9140,137.6046,17954000
2021-10-12,139.4800,139.5070,135.7600,136.4490,135.1629,36332000
2021-10-13,137.4025,138.0000,136.5190,137.5820,136.2851,19654000
2021-10-14,139.4740,141.3375,138.8250,141.1510,139.8205,31894000
2021-10-15,141.6145,141.7180,140.7550,141.3680,140.0354,30274000
2021-10-18,141.0765,142.7960,141.0695,142.7780,141.4322,20396000
2021-10-19,143.3875,143.6625,142.6000,143.2370,141.8869,20164000
2021-10-20,143.3380,143.5460,141.3765,141.7690,140.4327,23288000
2021-10-21,141.7690,142.1560,140.5000,141.8860,140.5486,26292000
2021-10-22,139.1500,140.5830,136.0560,137.5665,136.2698,50588000
2021-10-25,137.5500,138.0000,135.4240,137.4470,136.1514,34412000
2021-10-26,139.2635,140.0830,138.3045,139.3085,137.9953,49236000
2021-10-27,139.4050,148.6500,139.4050,146.2175,144.8392,85782000
2021-10-28,147.1345,147.1580,144.6270,145.8490,144.4742,36206000
2021-10-29,145.0780,148.2420,144.6495,148.0460,146.6505,43320000
2021-11-01,148.0460,148.0460,143.2255,143.4970,142.1444,46924000
2021-11-02,144.5795,146.6090,144.3355,145.4325,144.0616,33482000
2021-11-03,145.9005,146.6690,144.5910,146.5980,145.2162,27494000
2021-11-04,147.1245,149.7335,146.3080,148.2675,146.8699,38412000
2021-11-05,149.1695,150.3275,148.1970,148.8520,147.4489,38354000
2021-11-08,149.8250,150.6150,148.4305,149.0310,147.6263,23052000
2021-11-09,149.2330,149.8345,147.2450,148.9185,147.5148,19530000
2021-11-10,147.5000,148.0700,144.5375,145.8935,144.5183,29970000
2021-11-11,146.4895,147.5355,145.6005,145.7665,144.3925,16518000
2021-11-12,146.6155,148.8500,145.4110,148.6780,147.2766,22360000
2021-11-15,148.9005,149.5495,147.5750,148.4520,147.0527,23508000
2021-11-16,148.1495,148.7625,147.3125,147.8760,146.4821,18904000
2021-11-17,148.0275,148.5595,147.2400,148.0470,146.6515,19594000
2021-11-18,148.2415,150.5805,147.8845,149.8385,148.4261,35608000
2021-11-19,149.9755,150.9665,148.8990,148.9265,147.5227,33682000
2021-11-22,149.3325,149.8295,146.1475,146.3020,144.9229,30594000
2021-11-23,146.1530,146.6600,144.1150,145.7820,144.4079,27218000
2021-11-24,145.4735,146.2495,144.3730,146.1200,144.7427,18040000
2021-11-26,144.3485,144.5575,141.8425,142.1830,140.8428,30470000
2021-11-29,144.0000,146.2975,143.8935,145.5305,144.1587,32596000
2021-11-30,145.0085,146.0000,141.6015,141.8975,140.5600,42068000
2021-12-01,144.0000,145.9505,140.9120,141.0515,139.7220,34020000
2021-12-02,141.2500,143.8645,140.2145,142.9660,141.6184,29194000
2021-12-03,143.6810,144.4000,140.3010,142.0015,140.6630,41230000
2021-12-06,143.0405,143.8525,140.1500,143.1550,141.8056,30618000
2021-12-07,145.5965,147.5310,145.2275,147.2695,145.8813,32240000
2021-12-08,147.5965,148.3930,146.4060,148.1865,146.7897,24270000
2021-12-09,147.5910,149.1000,147.1150,147.6385,146.2468,23270000
2021-12-10,148.7000,148.9775,146.7040,148.0015,146.6064,24458000
2021-12-13,147.7815,147.9700,145.5175,145.8265,144.4520,27070000
2021-12-14,143.9680,144.4800,141.2150,143.9070,142.5505,38446000
2021-12-15,143.4090,146.7210,141.6780,146.4410,145.0606,36370000
2021-12-16,147.1705,147.6770,143.6070,144.4450,143.0835,33650000
2021-12-17,142.5000,143.8345,141.3000,141.7250,140.3891,50416000
2021-12-20,140.0000,141.7745,139.3210,141.6070,140.2722,27192000
2021-12-21,142.0535,143.8690,140.5025,143.4725,142.1201,28756000
