fecha,apertura,maximo,minimo,cierre,cierre_ajustado,volumen
2021-09-23,345.3600,349.6700,343.0000,345.9600,342.6780,21806300
2021-09-24,343.2400,354.3500,342.3700,352.9600,349.6115,18801900
2021-09-27,349.8100,355.1500,347.0800,353.5800,350.2256,15205800
2021-09-28,347.9700,349.6000,338.9200,340.6500,337.4183,21710300
2021-09-29,343.1500,345.2300,338.8800,339.6100,336.3882,14452200
2021-09-30,340.4500,342.8000,338.1500,339.3900,336.1702,16547100
2021-10-01,341.6100,345.0200,338.6400,343.0100,339.7559,14905300
2021-10-04,335.5300,335.9400,322.7000,326.2300,323.1352,42885000
2021-10-05,328.5800,335.1800,326.1600,332.9600,329.8013,35377900
2021-10-06,329.7400,334.3800,325.8000,333.6400,330.4748,26443000
2021-10-07,337.0000,338.8400,328.9800,329.2200,326.0968,28307500
2021-10-08,331.5100,333.4000,328.7100,330.0500,326.9189,15946100
2021-10-11,327.6300,330.4600,325.3100,325.4500,322.3625,14708200
2021-10-12,323.0300,324.3800,317.3700,323.7700,320.6984,31658700
2021-10-13,326.9700,327.0000,322.6600,324.5400,321.4612,14761500
2021-10-14,328.3600,330.5200,327.1000,328.5300,325.4133,14302200
2021-10-15,328.6800,329.0700,322.5100,324.7600,321.6790,21596400
2021-10-18,328.9500,335.8900,327.5000,335.3400,332.1587,21585000
2021-10-19,339.6500,342.4600,337.2800,339.9900,336.7646,18786300
2021-10-20,343.4500,343.9800,339.4500,340.7800,337.5471,13639500
2021-10-21,340.2800,342.3100,337.8000,341.8800,338.6366,16354400
2021-10-22,326.3500,329.6300,321.1100,324.6100,321.5305,35224500
2021-10-25,320.3000,329.5600,319.7200,328.6900,325.5718,38409000
2021-10-26,328.2600,330.2100,309.6000,315.8100,312.8140,65654000
2021-10-27,314.1900,319.2500,312.0600,312.2200,309.2580,29971800
2021-10-28,312.9900,325.5200,308.1100,316.9200,313.9135,50806800
2021-10-29,320.1900,326.0000,319.6000,323.5700,320.5003,37059400
2021-11-01,326.0400,333.4500,326.0000,329.9800,326.8496,31518900
2021-11-02,331.3800,334.7900,323.8000,328.0800,324.9675,28353000
2021-11-03,327.4900,332.1500,323.2000,331.6200,328.4739,20786500
2021-11-04,334.0100,337.2700,332.6500,335.8500,332.6639,22495300
2021-11-05,340.3100,346.7900,339.6400,341.1300,337.8938,26872800
2021-11-08,344.4200,344.7900,338.3400,338.6200,335.4076,18342500
2021-11-09,340.0000,341.3100,334.4700,335.3700,332.1884,17556700
2021-11-10,332.4900,333.1900,325.5100,327.6400,324.5318,21872600
2021-11-11,329.8200,332.4600,327.0000,327.7400,324.6308,12376600
2021-11-12,330.1800,341.8600,329.7800,340.8900,337.6560,25414300
2021-11-15,344.3400,353.6500,343.2000,347.5600,344.2628,25076600
2021-11-16,343.8300,346.6500,340.8700,342.9600,339.7064,18181100
