fecha,apertura,maximo,minimo,cierre,cierre_ajustado,volumen
2021-09-23,22.1400,22.5350,21.8900,22.4820,22.3834,248555000
2021-09-24,22.0700,22.1490,21.8610,22.0810,21.9842,217655000
2021-09-27,21.7100,21.7990,21.3250,21.6600,21.5650,245215000
2021-09-28,21.2140,21.4190,20.6510,20.6990,20.6082,343069000
2021-09-29,20.9400,21.0170,20.4670,20.5170,20.4270,218394000
2021-09-30,20.7680,21.0660,20.6880,20.7160,20.6252,221009000
2021-10-01,20.7500,20.8590,20.2030,20.7420,20.6510,240978000
2021-10-04,20.5040,20.5420,19.5550,19.7320,19.6455,345635000
2021-10-05,19.9500,20.6480,19.8540,20.4510,20.3613,279282000
2021-10-06,20.1200,20.7200,20.0800,20.7000,20.6092,297202000
2021-10-07,21.0920,21.3220,20.9720,21.0750,20.9826,256919000
2021-10-08,21.1010,21.2060,20.7750,20.8310,20.7396,151258000
2021-10-11,20.5750,21.0630,20.5110,20.6950,20.6042,163388000
2021-10-12,20.8280,21.0570,20.5280,20.6710,20.5804,162134000
2021-10-13,20.9180,20.9900,20.7130,20.9390,20.8472,180652000
2021-10-14,21.2880,21.7550,21.1220,21.7460,21.6506,243589000
2021-10-15,21.8100,21.9310,21.6620,21.8620,21.7661,226994000
2021-10-18,21.7490,22.2910,21.6440,22.2220,22.1246,189494000
2021-10-19,22.2760,22.3790,22.0370,22.2900,22.1923,161473000
2021-10-20,22.3050,22.4330,21.9820,22.1030,22.0061,146276000
2021-10-21,22.0970,22.7110,22.0830,22.6920,22.5925,187590000
2021-10-22,22.8230,23.1300,22.5610,22.7260,22.6263,249384000
2021-10-25,22.9730,23.3550,22.7700,23.1660,23.0644,230235000
2021-10-26,23.9890,25.2590,23.9240,24.7170,24.6086,485898000
2021-10-27,24.4740,25.0900,24.2820,24.4510,24.3438,245990000
2021-10-28,24.8780,24.9500,24.5230,24.9410,24.8316,234204000
2021-10-29,25.0010,25.7090,25.0000,25.5670,25.4549,292503000
2021-11-01,25.6490,25.8940,25.2270,25.8270,25.7137,265740000
2021-11-02,25.8220,26.6780,25.8000,26.4010,26.2852,294112000
2021-11-03,26.6700,26.7840,26.2350,26.5980,26.4814,239910000
2021-11-04,27.2290,31.3650,27.1180,29.8010,29.6703,1153631000
2021-11-05,30.1870,31.4000,29.4100,29.7520,29.6215,851260000
2021-11-08,30.1490,31.1000,29.9070,30.8040,30.6689,503101000
2021-11-09,32.2820,32.3100,29.9640,30.6570,30.5226,646746000
2021-11-10,29.3560,30.8500,28.7780,29.4590,29.3298,636206000
2021-11-11,30.4680,30.5900,29.7770,30.3900,30.2567,332172000
2021-11-12,30.0100,30.6800,29.6300,30.3900,30.2567,413054000
2021-11-15,30.5520,30.6440,29.2470,30.0250,29.8933,384909000
2021-11-16,29.7590,30.3900,29.7060,30.2030,30.0706,264484000
