fecha,apertura,maximo,minimo,cierre,cierre_ajustado,volumen
2021-09-23,370.7600,374.0400,370.1000,372.9800,361.9972,44652000
2021-09-24,370.6500,373.7600,370.2700,373.3300,362.3369,36056800
2021-09-27,370.2000,371.2500,367.7300,370.3500,359.4447,43338100
2021-09-28,365.6700,370.3000,359.3500,359.8700,349.2732,97701600
2021-09-29,361.1700,363.3700,358.6400,359.2800,348.7007,58076600
2021-09-30,360.9700,362.6800,357.1000,357.9600,347.4195,61384600
2021-10-01,358.6000,361.2500,354.3800,360.1800,349.5741,56375500
2021-10-04,358.5200,358.8600,350.3200,352.6200,342.2368,76766000
2021-10-05,353.7100,359.6900,353.4800,357.3800,346.8566,47232900
2021-10-06,354.0800,359.9500,353.1500,359.6700,349.0791,56806500
2021-10-07,362.8000,365.6900,362.2500,362.9700,352.2820,39411200
2021-10-08,364.0800,364.3200,360.6100,361.1600,350.5253,41822300
2021-10-11,359.5800,363.2000,358.3000,358.3900,347.8368,34847200
2021-10-12,359.8800,360.3300,356.4800,357.1400,346.6237,43905100
2021-10-13,359.5100,360.6900,357.4300,360.0000,349.3994,40120800
2021-10-14,363.6900,366.8500,363.0100,366.6300,355.8342,43433900
2021-10-15,367.8800,369.0600,366.8200,368.9400,358.0762,40419900
2021-10-18,367.6100,372.8700,366.9900,372.6500,361.6769,34513500
2021-10-19,373.7500,375.5200,372.7000,375.4700,364.4138,29091000
2021-10-20,375.9400,376.5700,373.4600,374.9800,363.9383,31390300
2021-10-21,374.1600,377.4700,373.8500,377.2700,366.1609,25469300
2021-10-22,375.9800,376.9700,372.3900,374.1000,363.0842,36275800
2021-10-25,375.5600,378.8700,373.5600,377.9300,366.8014,32597800
2021-10-26,380.2300,382.7100,377.9100,379.1200,367.9564,47191300
2021-10-27,379.5800,383.1500,379.3100,380.0000,368.8105,45760500
2021-10-28,381.9500,384.4800,381.1600,384.2200,372.9063,38007000
2021-10-29,381.0600,386.2800,380.7000,386.1100,374.7406,37310100
2021-11-01,386.5600,387.5600,384.4200,387.4300,376.0217,30765300
2021-11-02,386.8000,389.5400,386.7500,389.0500,377.5940,25135300
2021-11-03,389.5500,393.6100,388.4800,393.1800,381.6025,33748900
2021-11-04,394.4800,399.2000,393.9200,398.2200,386.4940,40265300
2021-11-05,400.0400,400.9900,397.1600,398.6000,386.8628,43383800
2021-11-08,398.5700,399.6200,397.4000,398.0600,386.3387,29256300
2021-11-09,399.1600,399.5700,393.9200,395.3200,383.6794,50490700
2021-11-10,392.4700,395.3600,387.5300,389.5100,378.0405,54937400
2021-11-11,392.5700,392.7500,390.2400,390.5900,379.0886,32243000
2021-11-12,391.7700,395.2500,390.1300,394.7000,383.0777,34730600
2021-11-15,395.9100,396.2400,392.1000,394.6100,382.9903,33716900
2021-11-16,393.8600,397.9300,393.6600,397.4200,385.7176,27872900
2021-11-17,397.7500,399.7200,396.6400,397.6300,385.9213,28703300
2021-11-18,399.7300,402.2700,397.4500,401.7500,389.9201,45721500
2021-11-19,403.4300,405.3000,402.5800,403.9900,392.0941,45191700
2021-11-22,405.5700,408.7100,399.1900,399.3000,387.5422,61715400
2021-11-23,398.1100,400.2300,392.9200,397.4800,385.7758,70098700
2021-11-24,394.9300,399.0500,392.5400,398.7600,387.0181,46954400
2021-11-26,396.1100,397.5400,389.7700,391.2000,379.6807,51533300
2021-11-29,395.8900,400.7300,395.1400,399.6900,387.9207,54447100
2021-11-30,398.7800,401.1900,391.7500,393.8200,382.2236,81332700
2021-12-01,398.2800,400.4800,386.6400,387.1200,375.7209,77766500
2021-12-02,385.8000,391.7400,384.3400,389.9100,378.4287,84416600
2021-12-03,391.3100,392.3400,378.9000,383.1300,371.8482,105349100
2021-12-06,383.6300,387.6000,379.3000,386.2000,374.8279,67588800
2021-12-07,393.0300,398.4600,392.9900,397.8300,386.1155,56005300
2021-12-08,398.1700,399.8200,396.2200,399.6100,387.8431,39204000
2021-12-09,398.3500,400.2000,393.5300,393.7300,382.1362,49973700
2021-12-10,396.6200,398.2800,393.3600,398.0100,386.2902,52545800
2021-12-13,398.0000,398.3300,391.8800,392.2600,380.7094,50166400
2021-12-14,387.3000,390.0900,383.6300,388.2000,376.7690,75199200
2021-12-15,387.9400,397.4200,383.8800,397.0500,385.3585,73858000
2021-12-16,398.0400,398.4800,385.2100,386.8400,375.4491,82591400
2021-12-17,383.3300,389.1900,381.7700,384.9100,373.5760,80492500
2021-12-20,379.5700,381.5000,377.4700,380.6900,369.9521,65336800
2021-12-21,384.0500,389.5300,380.2000,389.2100,378.2318,48899500
2021-12-22,388.9100,394.1600,388.2300,393.9500,382.8381,37042200
2021-12-23,394.3100,398.4300,394.1400,396.9200,385.7243,29595500
2021-12-27,398.2500,403.4800,398.2200,403.4800,392.0993,32820700
2021-12-28,404.4000,404.5800,400.7100,401.6100,390.2820,33113700
2021-12-29,401.7500,403.0500,399.1100,401.5500,390.2236,32248500
2021-12-30,401.3300,403.5700,399.7500,400.3500,389.0575,23850100
2021-12-31,399.6600,401.0600,397.3400,397.8500,386.6281,34752900
2022-01-03,399.0500,401.9400,396.8800,401.6800,390.3501,40575900
2022-01-04,402.2400,402.2800,393.2900,396.4700,385.2870,58027200
2022-01-05,394.7400,395.8900,384.0300,384.2900,373.4506,75739800
2022-01-06,382.4200,387.3500,380.1300,384.0200,373.1881,70814300
2022-01-07,384.0300,385.7600,378.0400,379.8600,369.1455,72652300
2022-01-10,374.8200,380.6400,369.3100,380.1100,369.3884,91770500
2022-01-11,379.3600,385.9900,377.2200,385.8200,374.9374,68295700
2022-01-12,388.4600,390.2000,385.0100,387.3500,376.4242,54576400
2022-01-13,388.7700,389.4700,376.7000,377.6600,367.0076,77994000
2022-01-14,375.0700,380.3500,374.8600,380.0100,369.2913,80121200
2022-01-18,374.0400,376.2200,369.7700,370.5500,360.0981,75450900
2022-01-19,372.1500,374.6900,366.2100,366.4800,356.1429,81791500
2022-01-20,369.7900,373.8700,361.1700,361.7200,351.5171,88610700
2022-01-21,359.4700,362.1800,351.4000,351.6900,341.7701,143388900
2022-01-24,345.9100,353.9800,334.1500,353.3000,343.3347,198685800
2022-01-25,346.6700,351.0300,341.6800,345.1100,335.3756,124398400
2022-01-26,352.9100,356.8800,340.7800,344.5700,334.8509,146559500
2022-01-27,349.4000,351.2700,340.0500,341.1000,331.4788,95255700
2022-01-28,343.0300,352.0200,337.9500,351.8000,341.8769,108167900
2022-01-31,353.2000,363.6500,351.5200,363.0500,352.8096,94326400
2022-02-01,364.4300,366.1900,359.1400,365.5200,355.2099,74433000
2022-02-02,369.7600,370.1000,364.2900,368.4900,358.0962,78777100
2022-02-03,358.5300,361.9300,352.4600,353.5500,343.5776,95384800
2022-02-04,354.0800,361.4000,351.9700,358.0100,347.9118,86318300
2022-02-07,358.6200,361.0500,353.8400,355.1300,345.1130,58198100
2022-02-08,353.9600,360.2400,352.8000,359.1200,348.9905,64720900
2022-02-09,363.7600,366.8100,362.1200,366.7300,356.3859,55766400
2022-02-10,359.5200,366.4900,356.5400,358.4300,348.3199,112468500
2022-02-11,358.4300,360.0700,345.8000,347.0600,337.2707,101569100
2022-02-14,346.4900,350.9800,343.8900,347.4900,337.6885,80254400
2022-02-15,352.9100,356.3700,351.8200,356.1300,346.0849,55128800
2022-02-16,353.8200,357.0900,350.7100,356.0400,345.9974,58947100
2022-02-17,352.7400,353.4600,345.0200,345.4500,335.7061,61801400
2022-02-18,346.4100,346.8100,339.1400,341.5100,331.8772,80001500
2022-02-22,338.4900,344.0400,334.3500,338.0800,328.5440,85967100
2022-02-23,341.3200,342.1800,329.1000,329.4200,320.1282,86215400
2022-02-24,318.8400,341.0400,318.2600,340.4900,330.8860,130614100
2022-02-25,341.3100,345.9800,337.3900,345.7700,336.0171,78842100
2022-02-28,342.5100,348.5400,341.3200,346.8000,337.0179,77515500
2022-03-01,345.7500,348.0800,338.9000,341.4900,331.8578,67407000
2022-03-02,343.0800,348.5900,340.2400,347.2200,337.4262,70609000
2022-03-03,349.9300,350.0400,340.3500,342.2600,332.6061,71089400
2022-03-04,339.8400,341.3100,334.9200,337.3000,327.7860,76936300
2022-03-07,337.2900,338.4800,324.6500,324.8600,315.6968,89933800
2022-03-08,324.0500,333.2100,319.9400,323.3500,314.2294,116153900
2022-03-09,331.7500,336.3800,329.0900,334.9900,325.5412,64723400
2022-03-10,330.8200,332.5100,326.7100,331.2700,321.9261,69362700
2022-03-11,334.3200,334.6400,323.9000,324.4000,315.2499,66228400
2022-03-14,323.1300,326.5900,317.4500,318.1700,309.1956,79802600
2022-03-15,320.8800,328.9500,319.2300,328.1500,318.8941,76471000
2022-03-16,332.1700,340.4400,328.4000,340.3200,330.7207,105243000
2022-03-17,338.3700,344.5000,337.0400,344.4400,334.7246,67810000
2022-03-18,342.7400,351.7900,341.5500,351.4900,341.5757,85446300
2022-03-21,350.2000,352.4800,345.5800,350.0800,340.6261,73799100
2022-03-22,350.5900,357.8500,350.2000,356.9600,347.3203,63345900
2022-03-23,354.0100,357.6600,351.7700,351.8300,342.3288,70615500
2022-03-24,353.8000,359.7000,351.5900,359.6500,349.9376,53555300
2022-03-25,359.5900,360.6700,354.9400,359.3500,349.6457,57584200
2022-03-28,359.3400,365.0100,358.0700,364.9100,355.0556,56833900
