fecha,apertura,maximo,minimo,cierre,cierre_ajustado,volumen
2021-09-22,787.1000,789.8000,782.9500,787.1000,787.1000,0
2021-09-23,784.8900,790.3500,784.8900,784.8900,784.8900,0
2021-09-26,792.3300,797.9000,791.1000,792.3300,792.3300,0
2021-09-27,793.0000,800.7800,793.0000,793.0000,793.0000,0
2021-09-28,802.1700,805.8800,798.5700,802.1700,802.1700,0
2021-09-29,809.5000,815.7000,807.2500,809.5000,809.5000,0
2021-09-30,810.3300,810.3300,800.4600,810.3300,810.3300,0
2021-10-03,802.7600,808.7600,801.1600,802.7600,802.7600,0
2021-10-04,805.3600,813.5000,805.3600,805.3600,805.3600,0
2021-10-05,810.7000,818.2000,810.7000,810.7000,810.7000,0
2021-10-06,812.6600,815.9500,809.4500,812.6600,812.6600,0
2021-10-07,811.7600,825.2500,809.6600,811.7600,811.7600,0
2021-10-10,823.9500,823.9500,823.9500,823.9500,823.9500,0
2021-10-11,823.9500,830.7800,821.0000,823.9500,823.9500,0
2021-10-12,822.6600,823.9000,814.7000,822.6600,822.6600,0
2021-10-13,814.7100,821.5500,806.2600,814.7100,814.7100,0
2021-10-14,825.4200,832.3000,821.1000,825.4200,825.4200,0
2021-10-17,823.2500,825.5000,815.7700,823.2500,823.2500,0
2021-10-18,816.6300,818.0000,809.5900,816.6300,816.6300,0
2021-10-19,810.0000,812.8300,808.8900,810.0000,810.0000,0
2021-10-20,813.5500,819.0500,813.5500,813.5500,813.5500,0
2021-10-21,817.6600,819.5400,811.0000,817.6600,817.6600,0
2021-10-24,815.3500,815.3500,806.5000,815.3500,815.3500,0
2021-10-25,807.4000,808.0300,803.4000,807.4000,807.4000,0
2021-10-26,803.6300,807.0200,801.0500,803.6300,803.6300,0
2021-10-27,804.9000,806.6500,802.6100,804.9000,804.9000,0
2021-10-28,805.3900,810.2500,805.3900,805.3900,805.3900,0
2021-10-31,813.0000,815.3000,812.6600,813.0000,813.0000,0
2021-11-01,811.6500,815.8900,811.5700,811.6500,811.6500,0
2021-11-02,812.8700,816.8200,809.9100,812.8700,812.8700,0
2021-11-03,813.3900,816.1800,813.3900,813.3900,813.3900,0
2021-11-04,813.6200,814.9500,809.8500,813.6200,813.6200,0
2021-11-07,810.9000,810.9500,802.1600,810.9000,810.9000,0
2021-11-08,803.1700,803.7100,791.1800,803.1700,803.1700,0
2021-11-09,793.0800,795.5000,790.3200,793.0800,793.0800,0
2021-11-10,794.7300,795.2800,788.4000,794.7300,794.7300,0
2021-11-11,793.6600,801.4400,792.5000,793.6600,793.6600,0
2021-11-14,800.3800,805.0500,797.8500,800.3800,800.3800,0
2021-11-15,797.5500,810.3900,797.5200,797.5500,797.5500,0
2021-11-16,811.5000,826.9600,811.5000,811.5000,811.5000,0
2021-11-17,829.2500,840.6500,825.0000,829.2500,829.2500,0
2021-11-18,832.1600,837.7500,825.4300,832.1600,832.1600,0
2021-11-21,828.0000,828.0000,806.0300,828.0000,828.0000,0
2021-11-22,811.7100,812.5400,805.5500,811.7100,811.7100,0
2021-11-23,813.2000,815.0000,807.5000,813.2000,813.2000,0
2021-11-24,813.8800,820.1300,811.8900,813.8800,813.8800,0
2021-11-25,818.5000,834.1600,818.4900,818.5000,818.5000,0
2021-11-28,831.5500,843.5000,829.9000,831.5500,831.5500,0
2021-11-29,843.5000,848.7500,826.9500,843.5000,843.5000,0
2021-11-30,826.8800,837.9000,818.2500,826.8800,826.8800,0
2021-12-01,838.5600,841.4900,831.3400,838.5600,838.5600,0
2021-12-02,837.0400,840.7200,833.6500,837.0400,837.0400,0
2021-12-05,840.5600,847.7000,838.1000,820.8055,820.8055,0
2021-12-06,845.6300,846.7500,834.7900,845.6300,845.6300,0
2021-12-07,839.4800,839.4800,839.1000,839.4800,839.4800,0
2021-12-08,839.0000,846.4600,833.2500,839.0000,839.0000,0
2021-12-09,848.5500,853.0100,843.0500,824.7659,824.7659,0
2021-12-12,847.6900,848.4400,838.7500,835.8203,835.8203,0
2021-12-13,840.9100,850.5000,838.5500,840.9100,840.9100,0
2021-12-14,842.7500,850.2500,842.7500,842.7500,842.7500,0
2021-12-15,850.8100,851.5000,845.1000,850.8100,850.8100,0
2021-12-16,846.0100,850.0000,836.7500,846.0100,846.0100,0
2021-12-19,842.7600,874.9600,842.7600,842.7080,842.7080,0
2021-12-20,870.9400,872.3300,863.4000,870.9400,870.9400,0
2021-12-21,871.2300,871.2300,862.4500,871.2300,871.2300,0
2021-12-22,860.1800,860.5600,853.2500,860.1800,860.1800,0
2021-12-23,858.7900,865.8700,856.4300,858.7900,858.7900,0
